2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 Next module: JTokeniser
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 Next module: XML2Utt TokensEn
2015-09-22 11:37:33,245 [pool-1-thread-1] INFO  marytts.R 1 Next module: TokenToWords
2015-09-22 11:37:33,245 [pool-1-thread-1] INFO  marytts.R 1 Next module: Utt2XML WordsEn
2015-09-22 11:37:33,245 [pool-1-thread-1] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2015-09-22 11:37:33,246 [pool-1-thread-1] INFO  marytts.R 1 Next module: JPhonemiser
2015-09-22 11:37:33,247 [pool-1-thread-1] INFO  marytts.R 1 Next module: Prosody
2015-09-22 11:37:33,248 [pool-1-thread-1] INFO  marytts.R 1 Next module: PronunciationModel
2015-09-22 11:37:33,249 [pool-1-thread-1] INFO  marytts.R 1 Next module: AcousticModeller
2015-09-22 11:37:33,259 [pool-1-thread-1] INFO  marytts.R 1 Next module: Synthesis
2015-09-22 11:37:33,324 [pool-1-thread-1] INFO  marytts.Synthesis Audio format conversion required for voice cmu-slt
2015-09-22 11:37:33,325 [pool-1-thread-1] INFO  marytts.R 1 Next module: Realised acoustparams extractor
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1 Request processed in 84 ms.
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    SSMLParser took 1 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    JTokeniser took 0 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    XML2Utt TokensEn took 1 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    TokenToWords took 0 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    Utt2XML WordsEn took 0 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    OpenNLPPosTagger took 1 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    JPhonemiser took 1 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    Prosody took 1 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    PronunciationModel took 1 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    AcousticModeller took 10 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    Synthesis took 66 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1    Realised acoustparams extractor took 0 ms
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1 New request (input type "ACOUSTPARAMS", output type "AUDIO", voice "cmu-slt", audio "WAVE")
2015-09-22 11:37:33,326 [pool-1-thread-1] INFO  marytts.R 1 Handling request using the following modules:
2015-09-22 11:37:33,327 [pool-1-thread-1] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2015-09-22 11:37:33,327 [pool-1-thread-1] INFO  marytts.R 1 Next module: Synthesis
2015-09-22 11:37:33,372 [pool-1-thread-1] INFO  marytts.Synthesis Audio format conversion required for voice cmu-slt
2015-09-22 11:37:48,863 [Thread-7] INFO  marytts.main Shutting down modules...
2015-09-22 11:37:48,864 [Thread-7] INFO  marytts.JTokeniser Module shut down.
2015-09-22 11:37:48,864 [Thread-7] INFO  marytts.Preprocess Module shut down.
2015-09-22 11:37:48,864 [Thread-7] INFO  marytts.OpenNLPPosTagger Module shut down.
2015-09-22 11:37:48,865 [Thread-7] INFO  marytts.Prosody Module shut down.
2015-09-22 11:37:48,865 [Thread-7] INFO  marytts.PronunciationModel Module shut down.
2015-09-22 11:37:48,865 [Thread-7] INFO  marytts.SimplePhoneme2AP Module shut down.
2015-09-22 11:37:48,865 [Thread-7] INFO  marytts.JTokeniser Module shut down.
